time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,119.542,1.700,0.017,0.0278,0.0003,0.000,0.000,-79.336
0.04,118.993,3.400,0.052,0.0548,0.0014,0.000,0.001,-78.675
0.06,118.195,5.100,0.100,0.0816,0.0034,0.000,0.004,-78.018
0.08,117.687,6.800,0.177,0.1076,0.0071,0.000,0.007,-77.364
0.10,117.513,8.500,0.275,0.1337,0.0127,0.000,0.013,-76.711
0.12,117.478,9.520,0.382,0.1497,0.0205,0.000,0.022,-76.058
0.14,117.515,9.580,0.483,0.1515,0.0299,0.000,0.033,-75.406
0.16,117.589,9.523,0.576,0.1533,0.0406,0.000,0.048,-74.753
0.18,117.681,9.352,0.661,0.1550,0.0524,0.000,0.065,-74.099
0.20,117.780,9.077,0.736,0.1566,0.0650,0.000,0.086,-73.445
0.22,117.881,8.709,0.801,0.1580,0.0780,0.000,0.110,-72.791
0.24,117.980,8.258,0.855,0.1592,0.0914,0.000,0.138,-72.136
0.26,118.075,7.738,0.898,0.1602,0.1048,0.000,0.170,-71.480
0.28,118.166,7.161,0.930,0.1611,0.1180,0.000,0.206,-70.825
0.30,118.250,6.539,0.952,0.1617,0.1309,0.000,0.247,-70.169
0.32,118.327,5.886,0.964,0.1621,0.1434,0.000,0.292,-69.513
0.34,118.397,5.212,0.967,0.1624,0.1552,0.000,0.343,-68.857
0.36,118.459,4.528,0.962,0.1624,0.1663,0.000,0.398,-68.201
0.38,118.513,3.845,0.950,0.1624,0.1767,0.000,0.458,-67.545
0.40,118.560,3.172,0.931,0.1622,0.1863,0.000,0.524,-66.889
0.42,118.600,2.515,0.907,0.1619,0.1950,0.000,0.595,-66.234
0.44,118.634,1.883,0.879,0.1615,0.2028,0.000,0.671,-65.579
0.46,118.661,1.281,0.846,0.1610,0.2097,0.000,0.754,-64.924
0.48,118.683,0.714,0.810,0.1605,0.2157,0.000,0.841,-64.270
0.50,118.701,0.187,0.772,0.1599,0.2208,0.000,0.935,-63.617
0.52,118.710,0.000,0.736,0.1641,0.2251,0.000,1.034,-62.965
0.54,118.710,0.000,0.702,0.1706,0.2287,0.000,1.139,-62.313
0.56,118.702,0.000,0.672,0.1762,0.2318,0.000,1.250,-61.663
0.58,118.687,0.000,0.643,0.1811,0.2342,0.000,1.367,-61.014
0.60,118.665,0.000,0.616,0.1852,0.2362,0.000,1.490,-60.365
0.62,118.639,0.000,0.591,0.1888,0.2376,0.000,1.619,-59.719
0.64,118.608,0.000,0.567,0.1918,0.2386,0.000,1.754,-59.073
0.66,118.575,0.000,0.544,0.1943,0.2392,0.000,1.895,-58.430
0.68,118.539,0.000,0.521,0.1962,0.2393,0.000,2.042,-57.787
0.70,118.502,0.000,0.499,0.1978,0.2390,0.000,2.194,-57.147
0.72,118.464,0.000,0.478,0.1988,0.2383,0.000,2.353,-56.508
0.74,118.426,0.000,0.457,0.1995,0.2372,0.000,2.518,-55.870
0.76,118.388,0.000,0.436,0.1997,0.2357,0.000,2.689,-55.235
0.78,118.352,0.000,0.416,0.1995,0.2339,0.000,2.866,-54.601
0.80,118.317,0.000,0.396,0.1989,0.2317,0.000,3.048,-53.970
0.82,118.285,0.000,0.376,0.1980,0.2292,0.000,3.237,-53.340
0.84,118.256,0.000,0.357,0.1966,0.2263,0.000,3.431,-52.712
0.86,118.229,0.000,0.339,0.1950,0.2231,0.000,3.631,-52.086
0.88,118.207,0.000,0.321,0.1930,0.2196,0.000,3.837,-51.462
0.90,118.189,0.000,0.303,0.1906,0.2158,0.000,4.049,-50.841
0.92,118.176,0.000,0.285,0.1880,0.2118,0.000,4.266,-50.221
