time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
1.64,60.421,13.381,0.850,0.2630,0.1785,0.000,14.255,-59.214
1.66,60.443,13.409,0.857,0.2631,0.1793,0.000,14.581,-59.132
1.68,60.464,13.427,0.865,0.2632,0.1802,0.000,14.908,-59.054
1.70,60.484,13.436,0.871,0.2634,0.1812,0.000,15.237,-58.983
1.72,60.503,13.436,0.877,0.2635,0.1822,0.000,15.567,-58.917
1.74,60.522,13.429,0.882,0.2636,0.1833,0.000,15.898,-58.856
1.76,60.540,13.414,0.887,0.2637,0.1843,0.000,16.230,-58.801
1.78,60.557,13.393,0.891,0.2638,0.1854,0.000,16.563,-58.752
1.80,60.574,13.366,0.895,0.2639,0.1864,0.000,16.897,-58.709
1.82,60.589,13.334,0.897,0.2639,0.1874,0.000,17.232,-58.671
