time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,59.532,1.700,0.016,0.0259,0.0004,0.000,0.000,-79.669
0.04,58.927,3.400,0.048,0.0499,0.0015,0.000,0.001,-79.342
0.06,58.915,5.100,0.103,0.0715,0.0040,0.000,0.003,-79.014
0.08,59.077,6.800,0.174,0.0919,0.0080,0.000,0.007,-78.686
0.10,59.270,8.500,0.257,0.1118,0.0134,0.000,0.013,-78.357
0.12,59.455,10.200,0.351,0.1317,0.0203,0.000,0.021,-78.027
0.14,59.623,11.900,0.451,0.1519,0.0287,0.000,0.032,-77.696
0.16,59.767,13.600,0.555,0.1728,0.0383,0.000,0.046,-77.364
0.18,59.892,14.951,0.658,0.1893,0.0490,0.000,0.064,-77.032
0.20,60.011,15.288,0.752,0.1912,0.0604,0.000,0.085,-76.699
0.22,60.124,15.504,0.837,0.1929,0.0722,0.000,0.110,-76.366
0.24,60.233,15.610,0.913,0.1945,0.0841,0.000,0.139,-76.033
0.26,60.337,15.617,0.980,0.1960,0.0961,0.000,0.172,-75.699
0.28,60.436,15.536,1.037,0.1973,0.1078,0.000,0.210,-75.366
0.30,60.530,15.377,1.086,0.1985,0.1193,0.000,0.252,-75.032
0.32,60.618,15.152,1.127,0.1995,0.1303,0.000,0.300,-74.698
0.34,60.702,14.870,1.160,0.2003,0.1409,0.000,0.352,-74.365
0.36,60.780,14.541,1.186,0.2011,0.1509,0.000,0.409,-74.032
0.38,60.854,14.174,1.205,0.2017,0.1603,0.000,0.472,-73.700
0.40,60.922,13.777,1.218,0.2022,0.1692,0.000,0.540,-73.368
0.42,60.984,13.359,1.226,0.2025,0.1775,0.000,0.614,-73.037
0.44,61.042,12.925,1.229,0.2028,0.1851,0.000,0.693,-72.707
0.46,61.096,12.482,1.228,0.2030,0.1922,0.000,0.778,-72.378
0.48,61.144,12.035,1.223,0.2032,0.1987,0.000,0.869,-72.050
0.50,61.188,11.589,1.216,0.2032,0.2048,0.000,0.965,-71.724
0.52,61.228,11.149,1.207,0.2033,0.2104,0.000,1.068,-71.399
0.54,61.265,10.716,1.197,0.2033,0.2157,0.000,1.176,-71.075
0.56,61.298,10.294,1.185,0.2032,0.2205,0.000,1.289,-70.754
0.58,61.329,9.883,1.172,0.2031,0.2248,0.000,1.409,-70.434
0.60,61.357,9.485,1.157,0.2030,0.2288,0.000,1.534,-70.117
0.62,61.382,9.102,1.142,0.2029,0.2323,0.000,1.665,-69.801
0.64,61.406,8.736,1.125,0.2027,0.2355,0.000,1.801,-69.488
0.66,61.428,8.386,1.108,0.2025,0.2382,0.000,1.943,-69.177
0.68,61.448,8.055,1.090,0.2023,0.2405,0.000,2.091,-68.869
0.70,61.467,7.744,1.072,0.2021,0.2424,0.000,2.245,-68.563
0.72,61.484,7.452,1.053,0.2018,0.2439,0.000,2.403,-68.260
0.74,61.501,7.181,1.034,0.2016,0.2450,0.000,2.568,-67.960
0.76,61.517,6.931,1.015,0.2013,0.2457,0.000,2.738,-67.663
0.78,61.533,6.703,0.995,0.2010,0.2460,0.000,2.913,-67.369
0.80,61.549,6.496,0.975,0.2007,0.2459,0.000,3.093,-67.078
0.82,61.565,6.312,0.955,0.2004,0.2455,0.000,3.279,-66.790
0.84,61.581,6.150,0.936,0.2001,0.2447,0.000,3.470,-66.505
0.86,61.598,6.011,0.916,0.1997,0.2435,0.000,3.666,-66.224
0.88,61.616,5.894,0.896,0.1994,0.2421,0.000,3.867,-65.947
0.90,61.635,5.799,0.877,0.1991,0.2403,0.000,4.073,-65.673
0.92,61.655,5.726,0.858,0.1988,0.2382,0.000,4.284,-65.402
0.94,61.676,5.675,0.840,0.1984,0.2358,0.000,4.500,-65.136
0.96,61.699,5.645,0.822,0.1981,0.2331,0.000,4.720,-64.873
0.98,61.725,5.636,0.805,0.1978,0.2303,0.000,4.946,-64.614
1.00,61.752,5.647,0.788,0.1975,0.2272,0.000,5.176,-64.359
1.02,61.781,5.678,0.772,0.1973,0.2239,0.000,5.410,-64.108
1.04,61.813,5.727,0.757,0.1970,0.2205,0.000,5.649,-63.861
1.06,61.847,5.794,0.743,0.1967,0.2169,0.000,5.893,-63.618
1.08,61.884,5.878,0.730,0.1965,0.2133,0.000,6.141,-63.379
1.10,61.923,5.977,0.719,0.1963,0.2095,0.000,6.393,-63.144
1.12,61.965,6.091,0.708,0.1961,0.2058,0.000,6.649,-62.914
1.14,62.010,6.217,0.698,0.1959,0.2020,0.000,6.909,-62.688
1.16,62.057,6.355,0.690,0.1958,0.1983,0.000,7.174,-62.466
1.18,62.106,6.503,0.684,0.1956,0.1947,0.000,7.442,-62.249
1.20,62.158,6.660,0.680,0.1955,0.1913,0.000,7.714,-62.036
1.22,62.212,6.823,0.678,0.1955,0.1881,0.000,7.990,-61.827
1.24,62.269,6.991,0.677,0.1954,0.1852,0.000,8.270,-61.623
1.26,62.327,7.160,0.679,0.1954,0.1825,0.000,8.553,-61.423
1.28,62.387,7.329,0.682,0.1955,0.1801,0.000,8.840,-61.228
1.30,62.449,7.496,0.686,0.1955,0.1780,0.000,9.130,-61.037
1.32,62.512,7.659,0.692,0.1956,0.1762,0.000,9.423,-60.851
1.34,62.576,7.815,0.698,0.1957,0.1747,0.000,9.720,-60.669
1.36,62.641,7.965,0.706,0.1959,0.1734,0.000,10.020,-60.492
1.38,62.707,8.106,0.714,0.1960,0.1725,0.000,10.323,-60.320
1.40,62.773,8.237,0.723,0.1962,0.1717,0.000,10.629,-60.152
1.42,62.839,8.358,0.733,0.1963,0.1713,0.000,10.938,-59.989
1.44,62.906,8.467,0.743,0.1965,0.1710,0.000,11.250,-59.830
1.46,62.972,8.564,0.753,0.1967,0.1710,0.000,11.564,-59.677
1.48,63.039,8.650,0.763,0.1969,0.1712,0.000,11.882,-59.528
1.50,63.104,8.723,0.772,0.1971,0.1716,0.000,12.202,-59.384
1.52,63.170,8.784,0.782,0.1972,0.1721,0.000,12.524,-59.245
