time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,119.542,1.700,0.017,0.0278,0.0003,0.000,0.000,-79.336
0.04,118.993,3.400,0.052,0.0548,0.0014,0.000,0.001,-78.675
0.06,118.195,5.100,0.100,0.0816,0.0034,0.000,0.004,-78.018
0.08,117.687,6.800,0.177,0.1076,0.0071,0.000,0.007,-77.364
0.10,117.513,8.500,0.275,0.1337,0.0127,0.000,0.013,-76.711
0.12,117.468,10.200,0.389,0.1608,0.0206,0.000,0.022,-76.058
0.14,117.474,11.900,0.510,0.1892,0.0305,0.000,0.034,-75.406
0.16,117.503,12.604,0.628,0.2030,0.0424,0.000,0.050,-74.753
0.18,117.547,12.482,0.734,0.2052,0.0557,0.000,0.069,-74.101
0.20,117.597,12.228,0.830,0.2071,0.0701,0.000,0.092,-73.448
0.22,117.648,11.854,0.912,0.2089,0.0852,0.000,0.119,-72.795
0.24,117.695,11.374,0.982,0.2105,0.1008,0.000,0.150,-72.141
0.26,117.738,10.803,1.038,0.2118,0.1165,0.000,0.186,-71.488
0.28,117.775,10.156,1.082,0.2129,0.1322,0.000,0.227,-70.835
0.30,117.803,9.450,1.114,0.2138,0.1476,0.000,0.273,-70.182
0.32,117.823,8.698,1.135,0.2144,0.1626,0.000,0.324,-69.529
0.34,117.834,7.914,1.145,0.2148,0.1771,0.000,0.381,-68.876
0.36,117.834,7.111,1.146,0.2151,0.1908,0.000,0.444,-68.224
0.38,117.825,6.301,1.139,0.2151,0.2039,0.000,0.512,-67.573
0.40,117.806,5.493,1.126,0.2151,0.2163,0.000,0.587,-66.922
0.42,117.778,4.696,1.109,0.2149,0.2280,0.000,0.667,-66.272
0.44,117.741,3.917,1.089,0.2147,0.2392,0.000,0.754,-65.623
0.46,117.697,3.159,1.067,0.2144,0.2497,0.000,0.847,-64.976
0.48,117.647,2.425,1.043,0.2140,0.2597,0.000,0.946,-64.329
0.50,117.591,1.717,1.020,0.2137,0.2692,0.000,1.052,-63.684
0.52,117.531,1.036,0.996,0.2134,0.2783,0.000,1.163,-63.040
0.54,117.468,0.382,0.973,0.2130,0.2870,0.000,1.281,-62.397
0.56,117.397,0.000,0.950,0.2168,0.2952,0.000,1.405,-61.756
0.58,117.317,0.000,0.928,0.2265,0.3030,0.000,1.535,-61.117
0.60,117.229,0.000,0.907,0.2358,0.3104,0.000,1.671,-60.479
0.62,117.133,0.000,0.885,0.2446,0.3173,0.000,1.813,-59.843
0.64,117.029,0.000,0.864,0.2530,0.3239,0.000,1.961,-59.210
0.66,116.917,0.000,0.842,0.2610,0.3300,0.000,2.114,-58.578
0.68,116.799,0.000,0.821,0.2686,0.3358,0.000,2.274,-57.948
0.70,116.673,0.000,0.800,0.2757,0.3411,0.000,2.440,-57.321
0.72,116.541,0.000,0.779,0.2824,0.3460,0.000,2.612,-56.696
0.74,116.403,0.000,0.758,0.2886,0.3506,0.000,2.789,-56.074
0.76,116.259,0.000,0.737,0.2945,0.3547,0.000,2.972,-55.454
0.78,116.109,0.000,0.716,0.2999,0.3584,0.000,3.161,-54.836
0.80,115.954,0.000,0.696,0.3049,0.3617,0.000,3.356,-54.222
0.82,115.795,0.000,0.675,0.3095,0.3646,0.000,3.556,-53.610
0.84,115.632,0.000,0.655,0.3137,0.3672,0.000,3.762,-53.001
0.86,115.464,0.000,0.635,0.3174,0.3693,0.000,3.973,-52.394
0.88,115.294,0.000,0.614,0.3208,0.3710,0.000,4.190,-51.791
0.90,115.120,0.000,0.594,0.3237,0.3723,0.000,4.413,-51.191
0.92,114.944,0.000,0.574,0.3262,0.3732,0.000,4.641,-50.594
