time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,119.542,1.700,0.017,0.0278,0.0003,0.000,0.000,-79.336
0.04,118.993,3.400,0.052,0.0548,0.0014,0.000,0.001,-78.675
0.06,118.195,5.100,0.100,0.0816,0.0034,0.000,0.004,-78.018
0.08,117.687,6.800,0.177,0.1076,0.0071,0.000,0.007,-77.364
0.10,117.513,8.500,0.275,0.1337,0.0127,0.000,0.013,-76.711
0.12,117.468,10.200,0.389,0.1608,0.0206,0.000,0.022,-76.058
0.14,117.474,11.900,0.510,0.1892,0.0305,0.000,0.034,-75.406
0.16,117.493,13.600,0.629,0.2198,0.0424,0.000,0.050,-74.753
0.18,117.514,15.300,0.736,0.2528,0.0557,0.000,0.069,-74.101
0.20,117.528,17.000,0.831,0.2879,0.0701,0.000,0.092,-73.448
0.22,117.528,18.700,0.912,0.3250,0.0852,0.000,0.119,-72.796
0.24,117.511,20.400,0.979,0.3636,0.1007,0.000,0.150,-72.144
0.26,117.473,22.100,1.033,0.4035,0.1163,0.000,0.186,-71.492
0.28,117.416,23.800,1.071,0.4445,0.1318,0.000,0.227,-70.841
0.30,117.338,25.500,1.096,0.4864,0.1469,0.000,0.272,-70.190
0.32,117.238,27.200,1.108,0.5288,0.1614,0.000,0.323,-69.540
0.34,117.116,28.900,1.109,0.5716,0.1753,0.000,0.379,-68.892
0.36,116.970,30.600,1.100,0.6143,0.1883,0.000,0.440,-68.244
0.38,116.798,32.000,1.082,0.6519,0.2005,0.000,0.506,-67.598
0.40,116.598,32.000,1.058,0.6653,0.2117,0.000,0.578,-66.954
0.42,116.378,32.000,1.029,0.6782,0.2222,0.000,0.656,-66.312
0.44,116.141,32.000,0.998,0.6905,0.2318,0.000,0.739,-65.671
0.46,115.891,32.000,0.965,0.7023,0.2407,0.000,0.827,-65.033
0.48,115.628,32.000,0.931,0.7133,0.2489,0.000,0.921,-64.397
0.50,115.355,32.000,0.897,0.7237,0.2564,0.000,1.020,-63.763
0.52,115.073,32.000,0.864,0.7334,0.2633,0.000,1.125,-63.132
0.54,114.783,32.000,0.831,0.7424,0.2695,0.000,1.235,-62.503
0.56,114.485,32.000,0.798,0.7508,0.2752,0.000,1.350,-61.877
0.58,114.181,32.000,0.766,0.7585,0.2802,0.000,1.471,-61.254
0.60,113.870,32.000,0.734,0.7656,0.2846,0.000,1.596,-60.634
0.62,113.554,32.000,0.702,0.7720,0.2885,0.000,1.727,-60.016
0.64,113.233,32.000,0.671,0.7778,0.2917,0.000,1.863,-59.401
0.66,112.907,32.000,0.639,0.7830,0.2943,0.000,2.003,-58.789
0.68,112.577,32.000,0.608,0.7876,0.2963,0.000,2.149,-58.181
0.70,112.244,32.000,0.577,0.7915,0.2976,0.000,2.300,-57.575
0.72,111.908,32.000,0.546,0.7948,0.2984,0.000,2.456,-56.973
0.74,111.570,32.000,0.515,0.7974,0.2985,0.000,2.616,-56.374
0.76,111.230,32.000,0.484,0.7995,0.2980,0.000,2.781,-55.778
0.78,110.888,32.000,0.452,0.8009,0.2968,0.000,2.951,-55.186
0.80,110.547,32.000,0.421,0.8017,0.2951,0.000,3.126,-54.596
0.82,110.205,32.000,0.390,0.8018,0.2927,0.000,3.306,-54.011
0.84,109.864,32.000,0.359,0.8014,0.2896,0.000,3.490,-53.429
0.86,109.525,32.000,0.327,0.8002,0.2859,0.000,3.679,-52.850
0.88,109.187,32.000,0.296,0.7985,0.2815,0.000,3.872,-52.275
0.90,108.852,32.000,0.264,0.7961,0.2765,0.000,4.071,-51.703
0.92,108.520,32.000,0.232,0.7931,0.2708,0.000,4.273,-51.135
