time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,59.532,1.700,0.016,0.0259,0.0004,0.000,0.000,-79.669
0.04,58.927,3.400,0.048,0.0499,0.0015,0.000,0.001,-79.342
0.06,58.915,5.100,0.103,0.0715,0.0040,0.000,0.003,-79.014
0.08,59.077,6.800,0.174,0.0919,0.0080,0.000,0.007,-78.686
0.10,59.270,8.500,0.257,0.1118,0.0134,0.000,0.013,-78.357
0.12,59.455,10.200,0.351,0.1317,0.0203,0.000,0.021,-78.027
0.14,59.623,11.900,0.451,0.1519,0.0287,0.000,0.032,-77.696
0.16,59.767,13.600,0.555,0.1728,0.0383,0.000,0.046,-77.364
0.18,59.888,15.300,0.659,0.1949,0.0490,0.000,0.064,-77.032
0.20,59.988,17.000,0.755,0.2190,0.0605,0.000,0.085,-76.699
0.22,60.072,18.700,0.840,0.2451,0.0723,0.000,0.110,-76.367
0.24,60.139,20.400,0.916,0.2729,0.0843,0.000,0.139,-76.034
0.26,60.188,22.100,0.982,0.3024,0.0962,0.000,0.172,-75.701
0.28,60.218,23.800,1.037,0.3331,0.1079,0.000,0.210,-75.369
0.30,60.228,25.500,1.083,0.3651,0.1193,0.000,0.253,-75.037
0.32,60.218,27.200,1.120,0.3981,0.1301,0.000,0.300,-74.705
0.34,60.188,28.900,1.147,0.4320,0.1404,0.000,0.352,-74.375
0.36,60.140,30.600,1.166,0.4666,0.1501,0.000,0.408,-74.045
0.38,60.073,32.000,1.176,0.4969,0.1591,0.000,0.470,-73.717
0.40,59.990,32.000,1.181,0.5042,0.1674,0.000,0.537,-73.390
0.42,59.897,32.000,1.181,0.5117,0.1750,0.000,0.609,-73.065
0.44,59.796,32.000,1.176,0.5191,0.1819,0.000,0.685,-72.741
0.46,59.687,32.000,1.168,0.5264,0.1882,0.000,0.767,-72.420
0.48,59.572,32.000,1.157,0.5336,0.1938,0.000,0.854,-72.100
0.50,59.450,32.000,1.143,0.5406,0.1989,0.000,0.947,-71.782
0.52,59.322,32.000,1.127,0.5473,0.2033,0.000,1.044,-71.467
0.54,59.188,32.000,1.110,0.5538,0.2073,0.000,1.146,-71.154
0.56,59.050,32.000,1.092,0.5599,0.2107,0.000,1.253,-70.843
0.58,58.907,32.000,1.073,0.5656,0.2136,0.000,1.366,-70.536
0.60,58.761,32.000,1.052,0.5710,0.2160,0.000,1.483,-70.231
0.62,58.611,32.000,1.031,0.5759,0.2179,0.000,1.605,-69.928
0.64,58.458,32.000,1.009,0.5805,0.2192,0.000,1.732,-69.629
0.66,58.302,32.000,0.987,0.5846,0.2201,0.000,1.864,-69.332
0.68,58.145,32.000,0.965,0.5882,0.2204,0.000,2.001,-69.039
0.70,57.985,32.000,0.942,0.5914,0.2203,0.000,2.142,-68.749
0.72,57.825,32.000,0.920,0.5942,0.2197,0.000,2.288,-68.462
0.74,57.664,32.000,0.897,0.5965,0.2187,0.000,2.438,-68.179
0.76,57.503,32.000,0.875,0.5983,0.2172,0.000,2.593,-67.899
0.78,57.342,32.000,0.853,0.5997,0.2154,0.000,2.752,-67.623
0.80,57.181,32.000,0.831,0.6006,0.2131,0.000,2.915,-67.350
0.82,57.022,32.000,0.811,0.6010,0.2105,0.000,3.083,-67.081
0.84,56.864,32.000,0.791,0.6010,0.2076,0.000,3.255,-66.815
0.86,56.709,32.000,0.772,0.6006,0.2044,0.000,3.431,-66.554
0.88,56.555,32.000,0.753,0.5998,0.2010,0.000,3.611,-66.296
0.90,56.404,32.000,0.736,0.5986,0.1973,0.000,3.794,-66.041
0.92,56.256,32.000,0.721,0.5971,0.1935,0.000,3.982,-65.791
0.94,56.111,32.000,0.707,0.5951,0.1896,0.000,4.174,-65.545
0.96,55.970,32.000,0.695,0.5929,0.1858,0.000,4.369,-65.303
0.98,55.831,32.000,0.686,0.5904,0.1820,0.000,4.568,-65.064
1.00,55.696,32.000,0.679,0.5876,0.1784,0.000,4.770,-64.830
1.02,55.565,32.000,0.674,0.5847,0.1750,0.000,4.976,-64.599
1.04,55.437,32.000,0.671,0.5816,0.1717,0.000,5.185,-64.373
1.06,55.313,32.000,0.670,0.5783,0.1687,0.000,5.397,-64.150
1.08,55.191,32.000,0.671,0.5750,0.1659,0.000,5.613,-63.932
1.10,55.073,32.000,0.674,0.5717,0.1635,0.000,5.831,-63.718
1.12,54.958,32.000,0.678,0.5683,0.1613,0.000,6.053,-63.507
1.14,54.846,32.000,0.684,0.5650,0.1593,0.000,6.278,-63.301
1.16,54.735,32.000,0.692,0.5617,0.1577,0.000,6.505,-63.099
1.18,54.628,32.000,0.700,0.5586,0.1564,0.000,6.736,-62.901
1.20,54.522,32.000,0.710,0.5555,0.1553,0.000,6.969,-62.707
1.22,54.418,32.000,0.720,0.5525,0.1545,0.000,7.205,-62.518
1.24,54.315,32.000,0.731,0.5497,0.1539,0.000,7.443,-62.332
1.26,54.214,32.000,0.742,0.5470,0.1536,0.000,7.684,-62.151
1.28,54.114,32.000,0.754,0.5445,0.1535,0.000,7.927,-61.974
1.30,54.015,32.000,0.766,0.5422,0.1536,0.000,8.173,-61.802
1.32,53.916,32.000,0.778,0.5400,0.1538,0.000,8.421,-61.634
1.34,53.818,32.000,0.789,0.5381,0.1543,0.000,8.672,-61.470
1.36,53.721,32.000,0.801,0.5363,0.1548,0.000,8.924,-61.311
1.38,53.624,32.000,0.812,0.5346,0.1555,0.000,9.179,-61.156
1.40,53.527,32.000,0.823,0.5332,0.1563,0.000,9.436,-61.006
1.42,53.431,32.000,0.833,0.5319,0.1572,0.000,9.695,-60.860
1.44,53.334,32.000,0.842,0.5307,0.1581,0.000,9.956,-60.719
1.46,53.237,32.000,0.852,0.5297,0.1591,0.000,10.219,-60.583
1.48,53.140,32.000,0.860,0.5289,0.1601,0.000,10.484,-60.452
1.50,53.043,32.000,0.868,0.5282,0.1612,0.000,10.750,-60.325
1.52,52.945,32.000,0.875,0.5276,0.1622,0.000,11.018,-60.203
