time,speedKph,steeringDeg,yawRadSec,frontSlip,rearSlip,drift,x,z
0.02,119.542,1.700,0.017,0.0278,0.0003,0.000,0.000,-79.336
0.04,118.993,3.400,0.052,0.0548,0.0014,0.000,0.001,-78.675
0.06,118.195,5.100,0.100,0.0816,0.0034,0.000,0.004,-78.018
0.08,117.687,6.800,0.177,0.1076,0.0071,0.000,0.007,-77.364
0.10,117.513,8.500,0.275,0.1337,0.0127,0.000,0.013,-76.711
0.12,117.468,10.200,0.389,0.1608,0.0206,0.000,0.022,-76.058
0.14,117.474,11.900,0.510,0.1892,0.0305,0.000,0.034,-75.406
0.16,117.493,13.600,0.629,0.2198,0.0424,0.000,0.050,-74.753
0.18,117.514,15.300,0.736,0.2528,0.0557,0.000,0.069,-74.101
0.20,117.532,16.234,0.831,0.2749,0.0701,0.000,0.092,-73.448
0.22,117.546,15.859,0.913,0.2767,0.0853,0.000,0.119,-72.796
0.24,117.557,15.379,0.983,0.2783,0.1009,0.000,0.150,-72.143
0.26,117.561,14.808,1.040,0.2796,0.1166,0.000,0.186,-71.491
0.28,117.559,14.163,1.084,0.2807,0.1324,0.000,0.227,-70.839
0.30,117.549,13.458,1.116,0.2815,0.1478,0.000,0.273,-70.187
0.32,117.531,12.708,1.138,0.2821,0.1629,0.000,0.324,-69.536
0.34,117.502,11.925,1.149,0.2826,0.1775,0.000,0.381,-68.885
0.36,117.464,11.123,1.151,0.2828,0.1914,0.000,0.444,-68.235
0.38,117.416,10.313,1.146,0.2829,0.2046,0.000,0.513,-67.586
0.40,117.359,9.504,1.134,0.2828,0.2171,0.000,0.587,-66.938
0.42,117.291,8.705,1.119,0.2827,0.2291,0.000,0.668,-66.291
0.44,117.216,7.922,1.101,0.2825,0.2405,0.000,0.754,-65.645
0.46,117.132,7.159,1.081,0.2822,0.2514,0.000,0.847,-65.000
0.48,117.043,6.418,1.061,0.2819,0.2618,0.000,0.947,-64.357
0.50,116.948,5.701,1.040,0.2816,0.2717,0.000,1.052,-63.715
0.52,116.849,5.008,1.019,0.2813,0.2813,0.000,1.163,-63.075
0.54,116.745,4.339,0.999,0.2810,0.2905,0.000,1.281,-62.436
0.56,116.638,3.694,0.979,0.2807,0.2993,0.000,1.404,-61.800
0.58,116.527,3.074,0.959,0.2804,0.3078,0.000,1.534,-61.165
0.60,116.411,2.476,0.939,0.2801,0.3158,0.000,1.669,-60.532
0.62,116.292,1.903,0.918,0.2798,0.3234,0.000,1.811,-59.901
0.64,116.169,1.353,0.898,0.2794,0.3306,0.000,1.958,-59.272
0.66,116.042,0.826,0.878,0.2791,0.3375,0.000,2.112,-58.645
0.68,115.912,0.323,0.858,0.2787,0.3439,0.000,2.271,-58.020
0.70,115.778,0.000,0.837,0.2810,0.3499,0.000,2.437,-57.398
0.72,115.638,0.000,0.817,0.2884,0.3555,0.000,2.608,-56.778
0.74,115.492,0.000,0.796,0.2953,0.3607,0.000,2.785,-56.161
0.76,115.340,0.000,0.776,0.3019,0.3655,0.000,2.967,-55.546
0.78,115.182,0.000,0.755,0.3080,0.3699,0.000,3.156,-54.933
0.80,115.019,0.000,0.734,0.3137,0.3739,0.000,3.350,-54.324
0.82,114.850,0.000,0.713,0.3190,0.3775,0.000,3.549,-53.717
0.84,114.676,0.000,0.693,0.3238,0.3806,0.000,3.754,-53.114
0.86,114.498,0.000,0.672,0.3283,0.3834,0.000,3.965,-52.513
0.88,114.316,0.000,0.652,0.3323,0.3858,0.000,4.182,-51.915
0.90,114.130,0.000,0.631,0.3359,0.3877,0.000,4.403,-51.321
0.92,113.940,0.000,0.611,0.3391,0.3893,0.000,4.631,-50.729
